"GEO_ID","NAME","B01003_001E","B01003_001M"
"id","Geographic Area Name","Estimate!!Total","Margin of Error!!Total"
"0500000US22071","Orleans Parish, Louisiana","378715","*****"
"0500000US22073","Ouachita Parish, Louisiana","156220","*****"
"0500000US22079","Rapides Parish, Louisiana","132723","*****"
"0500000US22097","St. Landry Parish, Louisiana","83454","*****"
"0500000US22103","St. Tammany Parish, Louisiana","242333","*****"
"0500000US22105","Tangipahoa Parish, Louisiana","125412","*****"
"0500000US22109","Terrebonne Parish, Louisiana","112749","*****"
"0500000US23001","Androscoggin County, Maine","107604","*****"
"0500000US23003","Aroostook County, Maine","70055","*****"
"0500000US23005","Cumberland County, Maine","285456","*****"
"0500000US23011","Kennebec County, Maine","121164","*****"
"0500000US23019","Penobscot County, Maine","153364","*****"
"0500000US23031","York County, Maine","199431","*****"
"0500000US24001","Allegany County, Maryland","73521","*****"
"0500000US24003","Anne Arundel County, Maryland","555743","*****"
"0500000US24005","Baltimore County, Maryland","823015","*****"
"0500000US24009","Calvert County, Maryland","90484","*****"
"0500000US24013","Carroll County, Maryland","167564","*****"
"0500000US24015","Cecil County, Maryland","101913","*****"
"0500000US24017","Charles County, Maryland","152864","*****"
"0500000US24021","Frederick County, Maryland","241409","*****"
"0500000US24025","Harford County, Maryland","249215","*****"
"0500000US24027","Howard County, Maryland","304580","*****"
"0500000US24031","Montgomery County, Maryland","1016677","*****"
"0500000US24033","Prince George's County, Maryland","890081","*****"
"0500000US24037","St. Mary's County, Maryland","109633","*****"
"0500000US24043","Washington County, Maryland","149588","*****"
"0500000US24045","Wicomico County, Maryland","100896","*****"
"0500000US24510","Baltimore city, Maryland","622104","*****"
"0500000US25001","Barnstable County, Massachusetts","214990","*****"
"0500000US25003","Berkshire County, Massachusetts","129585","*****"
"0500000US25005","Bristol County, Massachusetts","552780","*****"
"0500000US25009","Essex County, Massachusetts","762550","*****"
"0500000US25011","Franklin County, Massachusetts","71221","*****"
"0500000US25013","Hampden County, Massachusetts","467319","*****"
"0500000US25015","Hampshire County, Massachusetts","159596","*****"
"0500000US25017","Middlesex County, Massachusetts","1552802","*****"
"0500000US25021","Norfolk County, Massachusetts","687802","*****"
"0500000US25023","Plymouth County, Massachusetts","501915","*****"
"0500000US25025","Suffolk County, Massachusetts","755503","*****"
"0500000US25027","Worcester County, Massachusetts","809106","*****"
"0500000US26005","Allegan County, Michigan","112531","*****"
"0500000US26017","Bay County, Michigan","106832","*****"
"0500000US26021","Berrien County, Michigan","155252","*****"
"0500000US26025","Calhoun County, Michigan","135012","*****"
"0500000US26037","Clinton County, Michigan","76739","*****"
"0500000US26045","Eaton County, Michigan","108348","*****"
"0500000US26049","Genesee County, Michigan","415376","*****"
"0500000US26055","Grand Traverse County, Michigan","89987","*****"
"0500000US26065","Ingham County, Michigan","282234","*****"
"0500000US26073","Isabella County, Michigan","70436","*****"
"0500000US26075","Jackson County, Michigan","160369","*****"
"0500000US26077","Kalamazoo County, Michigan","256725","*****"
"0500000US26081","Kent County, Michigan","621700","*****"
"0500000US26087","Lapeer County, Michigan","88389","*****"
"0500000US26091","Lenawee County, Michigan","99188","*****"
"0500000US26093","Livingston County, Michigan","184443","*****"
"0500000US26099","Macomb County, Michigan","854769","*****"
"0500000US26103","Marquette County, Michigan","67700","*****"
"0500000US26111","Midland County, Michigan","83919","*****"
"0500000US26115","Monroe County, Michigan","150376","*****"
"0500000US26121","Muskegon County, Michigan","171008","*****"
"0500000US26125","Oakland County, Michigan","1231640","*****"
"0500000US26139","Ottawa County, Michigan","272701","*****"
"0500000US26145","Saginaw County, Michigan","196542","*****"
"0500000US26147","St. Clair County, Michigan","160469","*****"
"0500000US26155","Shiawassee County, Michigan","68900","*****"
"0500000US26159","Van Buren County, Michigan","75455","*****"
"0500000US26161","Washtenaw County, Michigan","354240","*****"
"0500000US26163","Wayne County, Michigan","1775273","*****"
"0500000US27003","Anoka County, Minnesota","339534","*****"
"0500000US27013","Blue Earth County, Minnesota","65528","*****"
"0500000US27019","Carver County, Minnesota","95562","*****"
"0500000US27037","Dakota County, Minnesota","408509","*****"
"0500000US27053","Hennepin County, Minnesota","1198778","*****"
"0500000US27109","Olmsted County, Minnesota","149226","*****"
"0500000US27123","Ramsey County, Minnesota","526714","*****"
"0500000US27131","Rice County, Minnesota","65049","*****"
"0500000US27137","St. Louis County, Minnesota","200540","*****"
"0500000US27139","Scott County, Minnesota","137232","*****"
"0500000US27141","Sherburne County, Minnesota","90158","*****"
"0500000US27145","Stearns County, Minnesota","152092","*****"
"0500000US27163","Washington County, Minnesota","246603","*****"
"0500000US27171","Wright County, Minnesota","128470","*****"
"0500000US28033","DeSoto County, Mississippi","168240","*****"
"0500000US28035","Forrest County, Mississippi","77059","*****"
"0500000US28047","Harrison County, Mississippi","196500","*****"
"0500000US28049","Hinds County, Mississippi","244899","*****"
"0500000US28059","Jackson County, Mississippi","140450","*****"
"0500000US28067","Jones County, Mississippi","68961","*****"
"0500000US28075","Lauderdale County, Mississippi","80254","*****"
"0500000US28081","Lee County, Mississippi","85340","*****"
"0500000US28089","Madison County, Mississippi","100412","*****"
"0500000US28121","Rankin County, Mississippi","146767","*****"
"0500000US29019","Boone County, Missouri","170773","*****"
"0500000US29021","Buchanan County, Missouri","89631","*****"
"0500000US29031","Cape Girardeau County, Missouri","77320","*****"
"0500000US29037","Cass County, Missouri","100641","*****"
"0500000US29043","Christian County, Missouri","80899","*****"
"0500000US29047","Clay County, Missouri","230473","*****"
"0500000US29051","Cole County, Missouri","76699","*****"
"0500000US29071","Franklin County, Missouri","101816","*****"
"0500000US29077","Greene County, Missouri","283870","*****"
"0500000US29095","Jackson County, Missouri","679996","*****"
"0500000US29097","Jasper County, Missouri","116398","*****"
"0500000US29099","Jefferson County, Missouri","221396","*****"
"0500000US29165","Platte County, Missouri","93310","*****"
"0500000US29183","St. Charles County, Missouri","373495","*****"
