"TOTAL NONFARM, February 2001-December 2019",,,,,,,,,,,,
COMPOSITE SYNTHETIC ESTIMATES (February 2001-December 2018),,,,,,,,,,,,
EXTENDED COMPOSITE SYNTHETIC ESTIMATES (January 2019-December 2019),,,,,,,,,,,,
,,,Levels in Thousands,,,,,Rates in Percent,,,,
Period (YYYYMM),Metropolitan Statistical Area (MSA),MSA Code,Job Openings,Hires,Quits,Layoffs & Discharges,Total Separations,Job Openings Rate,Hires Rate,Quits Rate,Layoffs & Discharges Rate,Total Separations Rate
201308,"Atlanta-Sandy Springs-Roswell, GA",12060,69,91,40,32,80,2.8,3.8,1.7,1.3,3.3
201309,"Atlanta-Sandy Springs-Roswell, GA",12060,74,89,41,34,80,3.0,3.7,1.7,1.4,3.3
201310,"Atlanta-Sandy Springs-Roswell, GA",12060,76,89,43,37,86,3.0,3.6,1.8,1.5,3.5
201311,"Atlanta-Sandy Springs-Roswell, GA",12060,74,88,41,37,82,2.9,3.6,1.7,1.5,3.4
201312,"Atlanta-Sandy Springs-Roswell, GA",12060,71,83,40,36,83,2.8,3.4,1.6,1.5,3.4
201401,"Atlanta-Sandy Springs-Roswell, GA",12060,66,86,36,35,77,2.6,3.5,1.5,1.4,3.1
201402,"Atlanta-Sandy Springs-Roswell, GA",12060,68,82,34,32,72,2.7,3.4,1.4,1.3,3.0
201403,"Atlanta-Sandy Springs-Roswell, GA",12060,77,93,37,28,71,3.1,3.8,1.5,1.2,2.9
201404,"Atlanta-Sandy Springs-Roswell, GA",12060,87,89,40,26,73,3.4,3.6,1.6,1.0,3.0
201405,"Atlanta-Sandy Springs-Roswell, GA",12060,99,102,43,26,79,3.8,4.1,1.7,1.1,3.2
201406,"Atlanta-Sandy Springs-Roswell, GA",12060,97,116,50,30,90,3.8,4.7,2.0,1.2,3.6
201407,"Atlanta-Sandy Springs-Roswell, GA",12060,99,125,54,36,98,3.8,5.0,2.1,1.4,3.9
201408,"Atlanta-Sandy Springs-Roswell, GA",12060,96,125,61,48,117,3.7,5.0,2.4,1.9,4.7
201409,"Atlanta-Sandy Springs-Roswell, GA",12060,100,113,57,55,121,3.8,4.5,2.3,2.2,4.8
201410,"Atlanta-Sandy Springs-Roswell, GA",12060,101,113,57,65,131,3.9,4.5,2.2,2.6,5.2
201411,"Atlanta-Sandy Springs-Roswell, GA",12060,96,107,49,51,109,3.6,4.2,1.9,2.0,4.3
201412,"Atlanta-Sandy Springs-Roswell, GA",12060,88,96,44,45,96,3.3,3.7,1.7,1.8,3.7
201501,"Atlanta-Sandy Springs-Roswell, GA",12060,82,94,44,38,89,3.1,3.7,1.7,1.5,3.5
201502,"Atlanta-Sandy Springs-Roswell, GA",12060,85,90,44,39,90,3.2,3.5,1.7,1.5,3.6
201503,"Atlanta-Sandy Springs-Roswell, GA",12060,93,99,50,39,95,3.5,3.9,2.0,1.5,3.7
201504,"Atlanta-Sandy Springs-Roswell, GA",12060,98,95,49,35,89,3.7,3.7,1.9,1.4,3.5
201505,"Atlanta-Sandy Springs-Roswell, GA",12060,109,117,50,34,90,4.1,4.6,1.9,1.3,3.5
201506,"Atlanta-Sandy Springs-Roswell, GA",12060,112,126,50,31,89,4.2,4.9,1.9,1.2,3.5
201507,"Atlanta-Sandy Springs-Roswell, GA",12060,116,127,52,26,88,4.3,4.9,2.0,1.0,3.4
201508,"Atlanta-Sandy Springs-Roswell, GA",12060,110,115,59,27,96,4.1,4.4,2.3,1.1,3.7
201509,"Atlanta-Sandy Springs-Roswell, GA",12060,104,106,57,38,103,3.9,4.1,2.2,1.5,4.0
201510,"Atlanta-Sandy Springs-Roswell, GA",12060,98,106,57,52,118,3.6,4.1,2.2,2.0,4.5
201511,"Atlanta-Sandy Springs-Roswell, GA",12060,96,98,47,50,104,3.5,3.7,1.8,1.9,4.0
201512,"Atlanta-Sandy Springs-Roswell, GA",12060,97,91,46,39,91,3.6,3.5,1.7,1.5,3.5
201601,"Atlanta-Sandy Springs-Roswell, GA",12060,101,84,41,27,74,3.7,3.2,1.6,1.0,2.8
201602,"Atlanta-Sandy Springs-Roswell, GA",12060,108,85,46,30,82,3.9,3.3,1.8,1.2,3.1
201603,"Atlanta-Sandy Springs-Roswell, GA",12060,124,93,49,33,87,4.5,3.6,1.9,1.3,3.3
